NAMESPACE     NAME                                      READY   STATUS    RESTARTS   AGE
default       loeaxsylz-7b6b9d599d-z44bf                1/1     Running   0          13m
default       lqsqtoiot-84f998c975-4wc7s                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-6csjh                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-gzx6k                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-m95dn                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-mkph5                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-qbp5k                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-r44tq                1/1     Running   0          39m
default       lqsqtoiot-84f998c975-vg7wk                1/1     Running   0          39m
default       lvevukzwb-dcb5bb9bc-l8n4z                 1/1     Running   0          13m
default       lvevukzwb-dcb5bb9bc-vxhlw                 1/1     Running   0          13m
default       lxbvuregp-584bd7dd-4zjzr                  1/1     Running   0          13m
default       lxbvuregp-584bd7dd-8rqss                  1/1     Running   0          13m
default       lznqhcxfb-67dcb6bcb8-287ll                1/1     Running   0          40m
default       lznqhcxfb-67dcb6bcb8-72bvf                1/1     Running   0          39m
default       lznqhcxfb-67dcb6bcb8-frhvb                1/1     Running   0          39m
default       lznqhcxfb-67dcb6bcb8-mgcs4                1/1     Running   0          40m
default       lznqhcxfb-67dcb6bcb8-n9c7d                1/1     Running   0          39m
default       lznqhcxfb-67dcb6bcb8-q6xhp                1/1     Running   0          39m
default       lznqhcxfb-67dcb6bcb8-rnfc8                1/1     Running   0          39m
default       lznqhcxfb-67dcb6bcb8-zxk9j                1/1     Running   0          39m
default       lzqqiumiq-b95ddd54b-9gpk4                 1/1     Running   0          8h
default       lzqqiumiq-b95ddd54b-m89s8                 1/1     Running   0          8h
default       melzxtybu-66c8989d9c-5g48k                1/1     Running   0          13m
default       melzxtybu-66c8989d9c-w8x5g                1/1     Running   0          13m
default       miyvxqrsi-6784444bdc-9bvbh                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-9rzcx                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-9wkzv                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-hjwtm                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-lx22v                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-ppdvv                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-rxhvh                1/1     Running   0          39m
default       miyvxqrsi-6784444bdc-twmb9                1/1     Running   0          39m
default       mndsibwgv-588fb59b85-29c7k                1/1     Running   0          14m
default       mndsibwgv-588fb59b85-ppk45                1/1     Running   0          14m
default       mokzwvmli-c8f5859d5-q8qms                 1/1     Running   0          13m
default       mokzwvmli-c8f5859d5-xs7fd                 1/1     Running   0          13m
default       mphjqkemx-599fdd7775-8rr9g                1/1     Running   0          13m
default       mphjqkemx-599fdd7775-fvbb9                1/1     Running   0          13m
default       mqwtsouxy-54c78978f9-7krvm                1/1     Running   0          13m
default       mqwtsouxy-54c78978f9-rwl58                1/1     Running   0          13m
default       msjjctedx-b58f874d5-2m5lv                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-4jzgz                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-82sfb                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-dzrgp                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-gr7nc                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-hksft                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-smjf2                 1/1     Running   0          39m
default       msjjctedx-b58f874d5-wv7vn                 1/1     Running   0          39m
default       mxttycsfd-76c4c85f48-jxjn4                1/1     Running   0          13m
default       mxttycsfd-76c4c85f48-mv5sd                1/1     Running   0          13m
default       nhvbpgljq-7544bc497c-4pdkg                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-dqqzg                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-gs747                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-hbqps                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-q5gf7                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-q9r65                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-tj47p                1/1     Running   0          39m
default       nhvbpgljq-7544bc497c-vfvcm                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-8bvcp                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-8txz8                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-bk5wf                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-dkxcx                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-fkkbm                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-lgrw8                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-wgx9b                1/1     Running   0          39m
default       nlabfrnmp-5757cd67f8-zjdqp                1/1     Running   0          39m
default       nllcvquhr-756cb959b8-2mmtr                1/1     Running   0          8h
default       nllcvquhr-756cb959b8-57hql                1/1     Running   0          8h
default       nllsnmhqw-58874fc57-4smbn                 1/1     Running   0          8h
default       nllsnmhqw-58874fc57-xszvl                 1/1     Running   0          8h
default       nmpgqjegz-6c67cd4775-9x4c6                1/1     Running   0          13m
default       nmpgqjegz-6c67cd4775-gpjsf                1/1     Running   0          13m
default       nojaqqxob-75ff8f4b48-gs4mh                1/1     Running   0          13m
default       nojaqqxob-75ff8f4b48-swq2v                1/1     Running   0          13m
default       nuaeazqrh-888bc9989-g7wpn                 1/1     Running   0          13m
default       nuaeazqrh-888bc9989-qp2p6                 1/1     Running   0          13m
default       nyhpghmng-6d55b97d5b-htzrm                1/1     Running   6          8h
default       nyhpghmng-6d55b97d5b-qjkvn                1/1     Running   6          8h
default       oanrcllqy-7c769677bc-4rtsj                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-727qd                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-h7wz7                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-jhxqj                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-m47zn                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-pd8z7                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-qx2mz                1/1     Running   0          39m
default       oanrcllqy-7c769677bc-t64js                1/1     Running   0          39m
default       ofhjtxezf-b65bbc955-j7ff6                 1/1     Running   0          13m
default       ofhjtxezf-b65bbc955-m6rqq                 1/1     Running   0          13m
default       ogokqzrie-54fc4c888c-76c9k                1/1     Running   6          8h
default       ogokqzrie-54fc4c888c-v8dhc                1/1     Running   6          8h
default       ojqubqpzd-796d696bc5-8vcgt                1/1     Running   0          13m
default       ojqubqpzd-796d696bc5-bwjlc                1/1     Running   0          13m
default       okjxjydup-7964b646d4-jrcqz                1/1     Running   0          13m
default       okjxjydup-7964b646d4-tbx42                1/1     Running   0          13m
default       oktrixchb-669bc8466c-d7767                1/1     Running   0          13m
default       oktrixchb-669bc8466c-db7gk                1/1     Running   0          13m
default       olhzqwmed-7975c8cbbd-2jrbt                1/1     Running   0          21m
